Location,"Mortality Rate, 2014*"
"McIntosh County, Georgia","203.63 (185.05, 220.86)"
"Meriwether County, Georgia","383.07 (359.50, 409.20)"
"Miller County, Georgia","296.34 (263.54, 328.45)"
"Mitchell County, Georgia","338.89 (316.77, 360.75)"
"Monroe County, Georgia","316.72 (294.67, 337.86)"
"Montgomery County, Georgia","306.14 (275.83, 338.44)"
"Morgan County, Georgia","314.97 (289.68, 340.02)"
"Murray County, Georgia","324.33 (303.57, 344.27)"
"Muscogee County, Georgia","322.10 (309.25, 335.61)"
"Newton County, Georgia","308.90 (292.21, 325.58)"
"Oconee County, Georgia","232.59 (217.28, 249.01)"
"Oglethorpe County, Georgia","244.64 (224.95, 265.64)"
"Paulding County, Georgia","239.47 (225.66, 253.59)"
"Peach County, Georgia","345.36 (321.90, 370.82)"
"Pickens County, Georgia","260.28 (241.67, 279.19)"
"Pierce County, Georgia","328.21 (302.73, 354.58)"
"Pike County, Georgia","301.23 (278.09, 328.19)"
"Polk County, Georgia","404.98 (381.08, 428.64)"
"Pulaski County, Georgia","331.50 (302.36, 362.26)"
"Putnam County, Georgia","285.30 (263.22, 307.72)"
"Quitman County, Georgia","242.85 (210.56, 275.33)"
"Rabun County, Georgia","250.69 (233.97, 267.69)"
"Randolph County, Georgia","344.10 (311.98, 376.14)"
"Richmond County, Georgia","317.95 (304.20, 330.98)"
"Rockdale County, Georgia","248.44 (234.52, 263.09)"
"Schley County, Georgia","303.70 (271.07, 338.24)"
"Screven County, Georgia","359.89 (332.09, 387.14)"
"Seminole County, Georgia","321.14 (289.67, 350.59)"
"Spalding County, Georgia","336.79 (317.14, 355.11)"
"Stephens County, Georgia","324.15 (304.28, 345.35)"
"Stewart County, Georgia","319.18 (286.20, 351.79)"
"Sumter County, Georgia","346.98 (324.67, 369.84)"
"Talbot County, Georgia","337.06 (305.96, 371.70)"
"Taliaferro County, Georgia","332.34 (286.84, 377.54)"
"Tattnall County, Georgia","322.43 (299.98, 346.04)"
"Taylor County, Georgia","352.37 (319.55, 384.83)"
"Telfair County, Georgia","314.22 (291.15, 336.96)"
"Terrell County, Georgia","316.81 (289.89, 343.93)"
"Thomas County, Georgia","301.88 (284.49, 320.71)"
"Tift County, Georgia","324.25 (304.19, 345.36)"
"Toombs County, Georgia","332.99 (312.80, 355.43)"
"Towns County, Georgia","230.32 (212.41, 248.62)"
"Treutlen County, Georgia","311.33 (281.49, 342.41)"
"Troup County, Georgia","333.17 (315.76, 352.71)"
"Turner County, Georgia","355.17 (323.44, 389.35)"
"Twiggs County, Georgia","388.69 (354.79, 428.45)"
"Union County, Georgia","220.74 (206.07, 236.26)"
"Upson County, Georgia","408.33 (383.23, 435.12)"
"Walker County, Georgia","392.09 (372.80, 414.65)"
"Walton County, Georgia","307.17 (289.65, 324.70)"
"Ware County, Georgia","353.82 (333.65, 375.28)"
"Warren County, Georgia","285.13 (258.60, 313.82)"
"Washington County, Georgia","324.98 (301.80, 348.70)"
"Wayne County, Georgia","341.71 (320.05, 365.02)"
"Webster County, Georgia","230.04 (200.95, 264.28)"
"Wheeler County, Georgia","298.97 (268.87, 333.40)"
"White County, Georgia","261.36 (243.20, 280.23)"
"Whitfield County, Georgia","272.06 (258.47, 286.05)"
"Wilcox County, Georgia","325.12 (294.96, 356.97)"
"Wilkes County, Georgia","338.09 (309.10, 365.38)"
"Wilkinson County, Georgia","381.01 (347.06, 414.77)"
"Worth County, Georgia","305.23 (282.08, 327.86)"
Hawaii,"205.85 (199.08, 213.27)"
"Hawaii County, Hawaii","233.05 (218.82, 247.76)"
"Honolulu County, Hawaii","199.77 (191.87, 208.43)"
"Kalawao County, Hawaii","207.88 (195.07, 220.88)"
"Kauai County, Hawaii","216.26 (200.39, 232.07)"
"Maui County, Hawaii","207.88 (195.07, 220.88)"
Idaho,"231.48 (225.24, 237.87)"
"Ada County, Idaho","211.01 (201.38, 220.34)"
"Adams County, Idaho","195.71 (174.77, 218.31)"
"Bannock County, Idaho","285.97 (271.16, 301.90)"
"Bear Lake County, Idaho","263.73 (239.22, 289.44)"
"Benewah County, Idaho","263.58 (241.02, 287.89)"
"Bingham County, Idaho","247.65 (232.90, 262.42)"
"Blaine County, Idaho","143.95 (132.26, 156.58)"
"Boise County, Idaho","188.63 (169.63, 211.11)"
"Bonner County, Idaho","238.40 (224.60, 253.03)"
"Bonneville County, Idaho","249.58 (235.69, 262.90)"
"Boundary County, Idaho","266.75 (244.84, 289.61)"
"Butte County, Idaho","263.71 (234.21, 293.93)"
"Camas County, Idaho","184.94 (154.01, 218.20)"
"Canyon County, Idaho","231.22 (219.78, 243.00)"
"Caribou County, Idaho","261.30 (236.33, 287.86)"
"Cassia County, Idaho","254.02 (237.18, 272.10)"
"Clark County, Idaho","232.94 (192.52, 276.61)"
"Clearwater County, Idaho","229.91 (212.08, 247.91)"
"Custer County, Idaho","201.50 (180.48, 224.38)"
"Elmore County, Idaho","247.25 (229.31, 265.68)"
"Franklin County, Idaho","255.56 (232.45, 278.24)"
"Fremont County, Idaho","240.39 (221.34, 260.98)"
"Gem County, Idaho","232.77 (217.66, 250.23)"
"Gooding County, Idaho","263.17 (242.92, 283.44)"
"Idaho County, Idaho","229.67 (213.56, 246.13)"
"Jefferson County, Idaho","214.69 (198.84, 232.59)"
"Jerome County, Idaho","250.55 (231.75, 270.04)"
"Kootenai County, Idaho","216.75 (206.65, 227.06)"
"Latah County, Idaho","213.06 (198.49, 227.97)"
"Lemhi County, Idaho","224.11 (206.47, 244.26)"
"Lewis County, Idaho","220.28 (196.04, 245.73)"
"Lincoln County, Idaho","237.42 (211.00, 266.16)"
"Madison County, Idaho","253.48 (233.42, 276.59)"
"Minidoka County, Idaho","253.81 (234.14, 273.58)"
"Nez Perce County, Idaho","248.08 (233.91, 262.80)"
"Oneida County, Idaho","243.84 (220.26, 269.61)"
"Owyhee County, Idaho","231.03 (210.99, 251.53)"
"Payette County, Idaho","260.38 (242.86, 278.76)"
"Power County, Idaho","282.07 (254.70, 309.99)"
"Shoshone County, Idaho","307.56 (286.65, 331.64)"
"Teton County, Idaho","181.66 (160.27, 205.56)"
"Twin Falls County, Idaho","230.60 (218.33, 243.15)"
"Valley County, Idaho","170.68 (154.41, 187.24)"
"Washington County, Idaho","255.84 (235.48, 277.36)"
Illinois,"258.33 (252.49, 264.16)"
"Adams County, Illinois","248.51 (235.53, 261.77)"
"Alexander County, Illinois","369.60 (342.75, 399.95)"
"Bond County, Illinois","242.32 (222.98, 261.40)"
"Boone County, Illinois","244.63 (229.89, 259.34)"
"Brown County, Illinois","286.74 (259.83, 315.05)"
"Bureau County, Illinois","256.93 (241.03, 272.35)"
"Calhoun County, Illinois","311.27 (282.96, 340.70)"
"Carroll County, Illinois","268.70 (251.34, 287.26)"
"Cass County, Illinois","324.29 (301.26, 348.08)"
"Champaign County, Illinois","216.11 (205.46, 226.44)"
"Christian County, Illinois","272.68 (257.55, 288.68)"
"Clark County, Illinois","334.70 (311.99, 356.48)"
"Clay County, Illinois","309.57 (287.45, 332.02)"
"Clinton County, Illinois","251.60 (236.91, 266.96)"
"Coles County, Illinois","287.60 (272.17, 303.30)"
"Cook County, Illinois","267.77 (261.51, 274.14)"
"Crawford County, Illinois","316.38 (295.74, 338.28)"
"Cumberland County, Illinois","265.83 (243.53, 288.03)"
"De Witt County, Illinois","285.32 (265.25, 307.15)"
"DeKalb County, Illinois","237.44 (224.89, 249.98)"
"Douglas County, Illinois","263.16 (244.16, 282.94)"
"DuPage County, Illinois","209.19 (201.17, 217.34)"
"Edgar County, Illinois","360.11 (337.71, 383.30)"
"Edwards County, Illinois","298.99 (271.36, 329.89)"
"Effingham County, Illinois","259.79 (243.14, 276.04)"
"Fayette County, Illinois","271.41 (252.49, 290.24)"
"Ford County, Illinois","315.65 (293.89, 339.94)"
"Franklin County, Illinois","257.10 (242.46, 271.99)"
"Fulton County, Illinois","268.70 (253.58, 284.80)"
"Gallatin County, Illinois","344.20 (315.54, 374.06)"
"Greene County, Illinois","293.71 (271.97, 314.62)"
"Grundy County, Illinois","264.77 (248.97, 282.08)"
"Hamilton County, Illinois","357.30 (330.31, 384.90)"
"Hancock County, Illinois","245.54 (229.31, 261.60)"
"Hardin County, Illinois","331.06 (299.92, 361.62)"
"Henderson County, Illinois","303.24 (276.74, 329.83)"
"Henry County, Illinois","253.49 (239.51, 267.14)"
"Iroquois County, Illinois","309.84 (290.90, 329.40)"
"Jackson County, Illinois","268.25 (253.36, 282.74)"
"Jasper County, Illinois","280.30 (254.78, 305.75)"
"Jefferson County, Illinois","265.52 (250.19, 280.98)"
"Jersey County, Illinois","300.04 (278.64, 321.71)"
"Jo Daviess County, Illinois","226.60 (212.23, 241.99)"
"Johnson County, Illinois","269.45 (246.27, 292.13)"
"Kane County, Illinois","206.46 (198.00, 214.83)"
"Kankakee County, Illinois","293.30 (278.09, 307.05)"
"Kendall County, Illinois","207.95 (196.39, 219.78)"
"Knox County, Illinois","282.66 (267.02, 297.94)"
"LaSalle County, Illinois","303.60 (290.22, 317.12)"
"Lake County, Illinois","208.43 (200.62, 216.28)"
"Lawrence County, Illinois","289.75 (268.72, 310.25)"
"Lee County, Illinois","258.87 (243.37, 275.35)"
"Livingston County, Illinois","314.84 (297.01, 332.90)"
"Logan County, Illinois","236.88 (221.14, 252.43)"
"Macon County, Illinois","262.82 (250.06, 275.01)"
"Macoupin County, Illinois","289.19 (273.55, 305.53)"
"Madison County, Illinois","298.76 (287.16, 310.95)"
"Marion County, Illinois","309.86 (293.03, 327.77)"
"Marshall County, Illinois","290.16 (269.08, 312.02)"
"Mason County, Illinois","266.33 (247.99, 284.56)"
"Massac County, Illinois","319.57 (295.95, 343.93)"
"McDonough County, Illinois","288.91 (271.25, 307.35)"
"McHenry County, Illinois","236.74 (227.03, 247.46)"
"McLean County, Illinois","235.97 (224.09, 247.41)"
"Menard County, Illinois","250.31 (228.82, 272.34)"
"Mercer County, Illinois","253.11 (236.76, 271.91)"
"Monroe County, Illinois","215.54 (201.59, 230.62)"
"Montgomery County, Illinois","275.44 (259.82, 291.80)"
"Morgan County, Illinois","281.19 (263.98, 298.80)"
"Moultrie County, Illinois","279.46 (258.24, 299.64)"
"Ogle County, Illinois","230.90 (217.42, 245.00)"
"Peoria County, Illinois","263.84 (252.42, 275.64)"
"Perry County, Illinois","263.78 (247.19, 283.12)"
"Piatt County, Illinois","239.40 (220.55, 258.63)"
"Pike County, Illinois","213.75 (198.45, 229.41)"
"Pope County, Illinois","273.49 (242.51, 302.63)"
"Pulaski County, Illinois","363.36 (331.23, 394.92)"
"Putnam County, Illinois","225.20 (203.32, 250.23)"
"Randolph County, Illinois","283.84 (266.46, 301.54)"
"Richland County, Illinois","275.96 (257.13, 295.41)"
"Rock Island County, Illinois","267.49 (256.06, 279.85)"
"Saint Clair County, Illinois","268.28 (256.34, 279.81)"
"Saline County, Illinois","340.79 (320.14, 363.36)"
"Sangamon County, Illinois","264.69 (252.84, 275.16)"
"Schuyler County, Illinois","300.24 (276.14, 327.08)"
"Scott County, Illinois","284.40 (250.84, 320.30)"
"Shelby County, Illinois","262.90 (245.35, 281.96)"
"Stark County, Illinois","248.61 (226.65, 273.84)"
"Stephenson County, Illinois","232.08 (219.63, 245.22)"
"Tazewell County, Illinois","255.22 (242.57, 267.48)"
"Union County, Illinois","307.51 (286.70, 328.40)"
"Vermilion County, Illinois","332.10 (316.46, 348.80)"
"Wabash County, Illinois","227.55 (210.50, 244.95)"
"Warren County, Illinois","325.18 (303.18, 348.00)"
"Washington County, Illinois","328.87 (302.69, 354.42)"
"Wayne County, Illinois","304.15 (282.32, 325.04)"
"White County, Illinois","318.39 (297.76, 339.94)"
"Whiteside County, Illinois","260.35 (246.51, 273.81)"
"Will County, Illinois","256.13 (246.42, 265.44)"
"Williamson County, Illinois","266.72 (252.59, 280.92)"
"Winnebago County, Illinois","267.78 (257.37, 278.94)"
"Woodford County, Illinois","236.28 (221.99, 251.89)"
Indiana,"278.25 (271.82, 284.78)"
"Adams County, Indiana","265.08 (248.58, 282.22)"
"Allen County, Indiana","244.75 (235.25, 254.03)"
"Bartholomew County, Indiana","276.91 (262.23, 291.18)"
"Benton County, Indiana","275.45 (250.50, 300.01)"
"Blackford County, Indiana","278.87 (256.13, 303.55)"
"Boone County, Indiana","279.25 (263.32, 295.28)"
"Brown County, Indiana","225.18 (206.20, 243.23)"
"Carroll County, Indiana","236.25 (218.97, 255.45)"
"Cass County, Indiana","279.66 (263.54, 296.73)"
"Clark County, Indiana","310.36 (295.00, 325.03)"
"Clay County, Indiana","331.38 (310.99, 353.04)"
"Clinton County, Indiana","303.65 (286.63, 322.17)"
"Crawford County, Indiana","307.06 (282.00, 334.64)"
"Daviess County, Indiana","301.56 (282.70, 321.26)"
"DeKalb County, Indiana","286.76 (269.52, 303.20)"
"Dearborn County, Indiana","252.54 (238.51, 267.36)"
"Decatur County, Indiana","281.76 (264.23, 301.38)"
"Delaware County, Indiana","280.43 (267.66, 293.58)"
"Dubois County, Indiana","294.67 (277.19, 312.42)"
"Elkhart County, Indiana","268.25 (256.51, 280.61)"
"Fayette County, Indiana","304.31 (284.89, 322.98)"
"Floyd County, Indiana","296.29 (280.71, 311.52)"
"Fountain County, Indiana","312.15 (290.39, 334.68)"
"Franklin County, Indiana","233.33 (217.60, 248.94)"
"Fulton County, Indiana","315.75 (296.00, 336.64)"
"Gibson County, Indiana","280.25 (262.89, 298.71)"
"Grant County, Indiana","280.57 (267.03, 293.45)"
"Greene County, Indiana","328.83 (310.54, 348.01)"
"Hamilton County, Indiana","201.34 (192.50, 211.15)"
"Hancock County, Indiana","253.90 (238.83, 268.76)"
"Harrison County, Indiana","254.64 (239.05, 271.43)"
"Hendricks County, Indiana","231.51 (219.05, 244.02)"
"Henry County, Indiana","293.28 (276.98, 310.65)"
"Howard County, Indiana","302.55 (288.08, 318.28)"
"Huntington County, Indiana","296.30 (279.25, 314.90)"
"Jackson County, Indiana","295.93 (277.99, 314.20)"
"Jasper County, Indiana","285.53 (268.58, 303.42)"
"Jay County, Indiana","283.93 (265.67, 302.78)"
"Jefferson County, Indiana","348.54 (328.87, 368.12)"
"Jennings County, Indiana","301.44 (281.10, 322.85)"
"Johnson County, Indiana","281.05 (268.58, 294.22)"
"Knox County, Indiana","364.33 (345.96, 382.87)"
"Kosciusko County, Indiana","253.14 (239.57, 267.37)"
"LaGrange County, Indiana","253.87 (237.17, 271.36)"
"LaPorte County, Indiana","306.26 (292.77, 321.16)"
"Lake County, Indiana","291.22 (280.69, 301.55)"
"Lawrence County, Indiana","328.66 (312.17, 346.38)"
"Madison County, Indiana","279.33 (266.90, 292.42)"
"Marion County, Indiana","291.81 (282.82, 300.97)"
"Marshall County, Indiana","260.12 (244.61, 276.50)"
"Martin County, Indiana","316.92 (288.61, 345.81)"
"Miami County, Indiana","306.13 (287.93, 323.39)"
"Monroe County, Indiana","211.74 (200.84, 223.25)"
"Montgomery County, Indiana","303.69 (285.54, 321.73)"
"Morgan County, Indiana","314.40 (298.00, 330.08)"
"Newton County, Indiana","290.76 (267.74, 314.61)"
"Noble County, Indiana","282.57 (266.68, 298.89)"
"Ohio County, Indiana","280.48 (252.98, 309.16)"
"Orange County, Indiana","302.97 (281.29, 324.65)"
"Owen County, Indiana","335.34 (311.14, 357.79)"
"Parke County, Indiana","301.07 (280.76, 323.45)"
"Perry County, Indiana","274.07 (253.79, 294.50)"
"Pike County, Indiana","315.65 (289.12, 342.38)"
"Porter County, Indiana","242.32 (230.72, 253.99)"
"Posey County, Indiana","245.60 (228.79, 263.22)"
"Pulaski County, Indiana","329.60 (305.53, 352.29)"
"Putnam County, Indiana","272.79 (255.51, 291.69)"
"Randolph County, Indiana","286.40 (267.71, 304.97)"
"Ripley County, Indiana","281.79 (261.67, 301.10)"
"Rush County, Indiana","284.59 (264.77, 305.39)"
"Saint Joseph County, Indiana","273.71 (262.05, 285.47)"
"Scott County, Indiana","321.70 (300.76, 343.55)"
"Shelby County, Indiana","284.98 (268.29, 303.97)"
"Spencer County, Indiana","258.99 (238.72, 278.51)"
"Starke County, Indiana","352.76 (328.68, 380.18)"
"Steuben County, Indiana","262.51 (246.47, 279.99)"
"Sullivan County, Indiana","353.69 (330.03, 378.11)"
"Switzerland County, Indiana","314.27 (288.79, 342.35)"
"Tippecanoe County, Indiana","263.45 (250.67, 276.27)"
"Tipton County, Indiana","286.88 (264.02, 310.74)"
"Union County, Indiana","282.52 (254.91, 310.89)"
"Vanderburgh County, Indiana","267.33 (255.24, 279.40)"
"Vermillion County, Indiana","417.39 (385.92, 448.58)"
"Vigo County, Indiana","341.41 (324.76, 358.75)"
"Wabash County, Indiana","254.49 (240.05, 269.73)"
"Warren County, Indiana","263.26 (237.35, 287.74)"
"Warrick County, Indiana","242.13 (227.58, 257.03)"
"Washington County, Indiana","321.46 (299.69, 345.12)"
"Wayne County, Indiana","289.01 (274.27, 304.42)"
"Wells County, Indiana","240.20 (224.25, 257.90)"
"White County, Indiana","249.95 (232.62, 266.56)"
"Whitley County, Indiana","247.69 (230.80, 264.88)"
Iowa,"250.21 (244.34, 256.26)"
"Adair County, Iowa","270.87 (248.46, 293.83)"
"Adams County, Iowa","264.46 (238.61, 292.06)"
"Allamakee County, Iowa","251.34 (232.02, 270.29)"
"Appanoose County, Iowa","369.50 (344.72, 397.22)"
"Audubon County, Iowa","213.20 (194.92, 232.98)"
"Benton County, Iowa","250.06 (233.02, 266.49)"
"Black Hawk County, Iowa","251.98 (239.97, 263.29)"
"Boone County, Iowa","284.64 (267.36, 303.50)"
"Bremer County, Iowa","242.07 (226.63, 259.37)"
"Buchanan County, Iowa","278.71 (261.23, 296.77)"
"Buena Vista County, Iowa","234.93 (219.45, 251.11)"
"Butler County, Iowa","298.82 (278.61, 320.33)"
"Calhoun County, Iowa","228.79 (210.60, 247.16)"
"Carroll County, Iowa","223.17 (208.33, 237.84)"
"Cass County, Iowa","271.47 (253.32, 291.72)"
"Cedar County, Iowa","242.22 (225.68, 259.39)"
"Cerro Gordo County, Iowa","281.55 (266.38, 297.45)"
"Cherokee County, Iowa","252.90 (236.08, 274.09)"
"Chickasaw County, Iowa","286.04 (266.88, 308.71)"
"Clarke County, Iowa","291.83 (268.78, 315.44)"
"Clay County, Iowa","230.74 (215.69, 247.31)"
"Clayton County, Iowa","215.93 (202.26, 230.32)"
"Clinton County, Iowa","328.32 (311.91, 345.88)"
"Crawford County, Iowa","221.30 (206.64, 237.06)"
"Dallas County, Iowa","200.53 (187.36, 212.57)"
"Davis County, Iowa","256.78 (236.94, 279.44)"
"Decatur County, Iowa","276.99 (253.72, 301.60)"
"Delaware County, Iowa","216.31 (200.89, 233.05)"
"Des Moines County, Iowa","274.39 (260.04, 291.66)"
"Dickinson County, Iowa","231.31 (215.70, 247.63)"
"Dubuque County, Iowa","245.27 (232.86, 257.05)"
"Emmet County, Iowa","244.37 (225.11, 265.52)"
"Fayette County, Iowa","246.77 (230.56, 263.58)"
"Floyd County, Iowa","320.87 (300.43, 342.29)"
"Franklin County, Iowa","292.84 (270.19, 314.01)"
"Fremont County, Iowa","243.91 (223.82, 264.28)"
"Greene County, Iowa","263.34 (243.02, 283.99)"
"Grundy County, Iowa","233.27 (215.21, 251.26)"
"Guthrie County, Iowa","290.79 (269.74, 312.82)"
"Hamilton County, Iowa","236.24 (219.80, 254.20)"
"Hancock County, Iowa","255.21 (236.45, 274.70)"
"Hardin County, Iowa","275.45 (257.17, 293.02)"
"Harrison County, Iowa","259.76 (241.71, 277.82)"
"Henry County, Iowa","316.47 (297.28, 337.42)"
"Howard County, Iowa","264.75 (244.60, 286.29)"
"Humboldt County, Iowa","272.26 (251.39, 292.22)"
"Ida County, Iowa","251.15 (230.34, 272.57)"
"Iowa County, Iowa","224.68 (209.07, 241.46)"
"Jackson County, Iowa","285.91 (267.01, 305.52)"
"Jasper County, Iowa","242.18 (228.52, 256.66)"
"Jefferson County, Iowa","271.54 (252.37, 293.97)"
"Johnson County, Iowa","196.88 (185.59, 207.70)"
"Jones County, Iowa","223.40 (208.13, 239.71)"
"Keokuk County, Iowa","217.79 (201.85, 235.33)"
"Kossuth County, Iowa","239.09 (223.58, 255.69)"
"Lee County, Iowa","317.78 (299.50, 336.53)"
"Linn County, Iowa","217.94 (208.81, 227.80)"
"Louisa County, Iowa","274.32 (253.43, 297.94)"
"Lucas County, Iowa","263.90 (242.72, 285.63)"
"Lyon County, Iowa","245.67 (227.37, 265.37)"
"Madison County, Iowa","218.62 (202.17, 235.28)"
"Mahaska County, Iowa","262.88 (245.66, 280.88)"
"Marion County, Iowa","266.87 (250.22, 282.56)"
"Marshall County, Iowa","264.04 (249.33, 280.39)"
"Mills County, Iowa","273.02 (250.69, 295.79)"
"Mitchell County, Iowa","255.20 (236.06, 275.62)"
"Monona County, Iowa","296.38 (275.65, 316.84)"
"Monroe County, Iowa","303.65 (278.95, 328.43)"
"Montgomery County, Iowa","292.67 (271.82, 313.58)"
"Muscatine County, Iowa","267.06 (251.73, 282.91)"
"O'Brien County, Iowa","230.19 (214.29, 246.57)"
"Osceola County, Iowa","309.92 (285.11, 336.78)"
"Page County, Iowa","265.77 (248.87, 285.51)"
"Palo Alto County, Iowa","244.86 (225.36, 265.22)"
"Plymouth County, Iowa","226.36 (211.52, 241.65)"
"Pocahontas County, Iowa","252.68 (233.51, 272.33)"
"Polk County, Iowa","238.48 (229.66, 247.35)"
"Pottawattamie County, Iowa","256.99 (244.04, 270.48)"
"Poweshiek County, Iowa","273.01 (255.31, 291.28)"
"Ringgold County, Iowa","240.13 (219.04, 260.49)"
"Sac County, Iowa","251.65 (233.33, 270.01)"
"Scott County, Iowa","242.33 (230.80, 253.74)"
"Shelby County, Iowa","234.73 (217.87, 253.29)"
"Sioux County, Iowa","190.92 (178.21, 203.35)"
"Story County, Iowa","201.52 (189.41, 213.82)"
"Tama County, Iowa","229.55 (214.33, 244.98)"
"Taylor County, Iowa","254.20 (233.75, 277.64)"
"Union County, Iowa","323.51 (299.86, 346.96)"
"Van Buren County, Iowa","281.27 (259.81, 305.22)"
"Wapello County, Iowa","310.86 (293.39, 328.79)"
"Warren County, Iowa","218.49 (204.45, 231.88)"
"Washington County, Iowa","237.17 (220.64, 254.12)"
"Wayne County, Iowa","298.97 (274.55, 323.81)"
"Webster County, Iowa","298.59 (281.74, 315.24)"
"Winnebago County, Iowa","245.34 (227.41, 265.55)"
"Winneshiek County, Iowa","207.74 (194.01, 222.81)"
"Woodbury County, Iowa","249.57 (237.78, 261.74)"
"Worth County, Iowa","269.58 (247.17, 293.90)"
"Wright County, Iowa","225.31 (209.13, 242.32)"
Kansas,"257.42 (250.90, 263.38)"
"Allen County, Kansas","311.77 (290.54, 333.83)"
"Anderson County, Kansas","242.72 (222.93, 263.03)"
"Atchison County, Kansas","265.04 (247.89, 283.75)"
"Barber County, Kansas","304.75 (277.94, 332.31)"
"Barton County, Kansas","252.20 (237.10, 267.52)"
"Bourbon County, Kansas","299.16 (278.14, 319.62)"
"Brown County, Kansas","307.84 (284.07, 331.00)"
"Butler County, Kansas","282.01 (267.01, 297.63)"
"Chase County, Kansas","257.00 (228.49, 286.29)"
"Chautauqua County, Kansas","279.98 (252.93, 310.09)"
"Cherokee County, Kansas","356.55 (332.87, 381.28)"
"Cheyenne County, Kansas","210.40 (189.28, 233.15)"
"Clark County, Kansas","286.95 (255.64, 321.79)"
"Clay County, Kansas","213.80 (197.34, 231.53)"
"Cloud County, Kansas","258.69 (237.61, 279.91)"
"Coffey County, Kansas","270.19 (247.86, 294.43)"
"Comanche County, Kansas","308.71 (274.93, 345.74)"
"Cowley County, Kansas","295.28 (277.98, 313.88)"
"Crawford County, Kansas","316.70 (299.67, 335.16)"
"Decatur County, Kansas","231.57 (208.79, 255.33)"
"Dickinson County, Kansas","282.13 (264.88, 300.80)"
"Doniphan County, Kansas","282.79 (259.58, 305.55)"
"Douglas County, Kansas","217.78 (206.74, 230.42)"
"Edwards County, Kansas","279.42 (251.74, 309.50)"
"Elk County, Kansas","286.18 (259.50, 315.58)"
"Ellis County, Kansas","229.89 (212.59, 246.41)"
"Ellsworth County, Kansas","274.00 (249.76, 298.30)"
"Finney County, Kansas","222.08 (207.36, 238.35)"
"Ford County, Kansas","264.78 (247.54, 282.07)"
"Franklin County, Kansas","266.95 (249.51, 284.06)"
"Geary County, Kansas","263.38 (245.21, 282.97)"
"Gove County, Kansas","250.21 (222.85, 278.61)"
"Graham County, Kansas","251.41 (225.52, 277.08)"
"Grant County, Kansas","260.78 (236.05, 287.38)"
"Gray County, Kansas","207.92 (187.49, 230.43)"
"Greeley County, Kansas","229.17 (200.68, 258.30)"
"Greenwood County, Kansas","335.60 (310.08, 362.54)"
"Hamilton County, Kansas","246.15 (217.97, 275.52)"
"Harper County, Kansas","279.73 (255.34, 305.03)"
"Harvey County, Kansas","228.95 (214.96, 243.28)"
"Haskell County, Kansas","252.65 (223.21, 280.45)"
"Hodgeman County, Kansas","207.14 (183.16, 232.94)"
"Jackson County, Kansas","290.50 (268.64, 312.14)"
"Jefferson County, Kansas","240.81 (223.69, 258.40)"
"Jewell County, Kansas","238.69 (214.27, 262.61)"
"Johnson County, Kansas","230.24 (221.43, 239.18)"
"Kearny County, Kansas","250.92 (222.79, 279.12)"
"Kingman County, Kansas","267.07 (244.26, 290.05)"
"Kiowa County, Kansas","234.39 (204.86, 266.51)"
"Labette County, Kansas","319.20 (299.01, 340.53)"
"Lane County, Kansas","264.79 (229.83, 299.49)"
"Leavenworth County, Kansas","248.14 (235.14, 262.77)"
"Lincoln County, Kansas","279.42 (249.75, 309.60)"
"Linn County, Kansas","277.55 (255.90, 300.86)"
"Logan County, Kansas","257.71 (230.72, 286.77)"
"Lyon County, Kansas","260.73 (243.97, 278.03)"
"Marion County, Kansas","242.58 (223.81, 261.72)"
"Marshall County, Kansas","248.96 (231.02, 268.01)"
"McPherson County, Kansas","260.95 (243.86, 278.59)"
"Meade County, Kansas","226.47 (205.19, 250.53)"
"Miami County, Kansas","261.56 (245.06, 280.04)"
"Mitchell County, Kansas","257.29 (235.06, 281.00)"
"Montgomery County, Kansas","292.91 (276.72, 310.08)"
"Morris County, Kansas","219.72 (198.99, 238.30)"
"Morton County, Kansas","276.47 (245.92, 310.04)"
"Nemaha County, Kansas","243.60 (225.42, 263.56)"
"Neosho County, Kansas","281.83 (262.43, 302.72)"
"Ness County, Kansas","254.38 (231.71, 279.02)"
"Norton County, Kansas","266.92 (243.65, 290.61)"
"Osage County, Kansas","301.66 (280.74, 324.18)"
"Osborne County, Kansas","270.08 (245.02, 294.69)"
"Ottawa County, Kansas","288.35 (262.10, 314.51)"
"Pawnee County, Kansas","220.05 (200.69, 239.86)"
"Phillips County, Kansas","290.36 (265.19, 316.23)"
"Pottawatomie County, Kansas","270.93 (253.32, 289.54)"
"Pratt County, Kansas","259.72 (238.57, 281.33)"
"Rawlins County, Kansas","232.97 (210.70, 257.70)"
"Reno County, Kansas","236.12 (223.50, 249.37)"
"Republic County, Kansas","267.94 (244.88, 292.74)"
"Rice County, Kansas","255.45 (233.57, 277.45)"
"Riley County, Kansas","201.54 (189.10, 215.32)"
"Rooks County, Kansas","266.20 (241.04, 295.35)"
"Rush County, Kansas","254.56 (229.40, 279.20)"
"Russell County, Kansas","272.20 (250.31, 295.79)"
"Saline County, Kansas","255.25 (240.51, 269.75)"
"Scott County, Kansas","242.89 (218.18, 267.14)"
"Sedgwick County, Kansas","257.90 (248.43, 267.75)"
"Seward County, Kansas","229.85 (211.33, 249.57)"
"Shawnee County, Kansas","265.73 (253.93, 277.98)"
"Sheridan County, Kansas","254.35 (224.67, 285.45)"
"Sherman County, Kansas","258.54 (235.91, 283.64)"
