Location,"Mortality Rate, 2014*"
"Mohave County, Arizona","295.41 (283.97, 306.91)"
"Navajo County, Arizona","233.77 (221.96, 246.39)"
"Pima County, Arizona","213.43 (206.47, 220.51)"
"Pinal County, Arizona","180.70 (174.14, 187.93)"
"Santa Cruz County, Arizona","169.74 (158.44, 181.28)"
"Yavapai County, Arizona","212.93 (204.58, 221.42)"
"Yuma County, Arizona","184.95 (177.46, 192.59)"
Arkansas,"324.15 (317.65, 330.43)"
"Arkansas County, Arkansas","410.50 (385.17, 437.60)"
"Ashley County, Arkansas","384.50 (359.32, 409.00)"
"Baxter County, Arkansas","272.95 (257.61, 287.97)"
"Benton County, Arkansas","261.12 (249.31, 273.19)"
"Boone County, Arkansas","333.92 (313.35, 352.63)"
"Bradley County, Arkansas","458.00 (422.03, 496.52)"
"Calhoun County, Arkansas","310.24 (283.46, 340.63)"
"Carroll County, Arkansas","266.25 (248.49, 282.95)"
"Chicot County, Arkansas","420.61 (392.79, 449.95)"
"Clark County, Arkansas","355.56 (332.39, 379.72)"
"Clay County, Arkansas","404.92 (377.19, 434.26)"
"Cleburne County, Arkansas","311.96 (294.40, 331.19)"
"Cleveland County, Arkansas","353.88 (326.58, 384.21)"
"Columbia County, Arkansas","380.43 (356.64, 403.31)"
"Conway County, Arkansas","309.82 (287.48, 333.15)"
"Craighead County, Arkansas","340.77 (323.91, 358.66)"
"Crawford County, Arkansas","345.27 (326.56, 363.85)"
"Crittenden County, Arkansas","371.42 (352.65, 389.88)"
"Cross County, Arkansas","351.68 (326.07, 379.53)"
"Dallas County, Arkansas","384.27 (353.99, 414.18)"
"Desha County, Arkansas","468.84 (435.82, 501.11)"
"Drew County, Arkansas","339.38 (317.32, 364.86)"
"Faulkner County, Arkansas","278.64 (264.15, 294.01)"
"Franklin County, Arkansas","333.69 (312.05, 356.57)"
"Fulton County, Arkansas","315.22 (292.40, 338.69)"
"Garland County, Arkansas","299.46 (285.70, 314.36)"
"Grant County, Arkansas","323.77 (299.44, 348.61)"
"Greene County, Arkansas","375.93 (352.50, 398.01)"
"Hempstead County, Arkansas","402.28 (376.80, 429.82)"
"Hot Spring County, Arkansas","327.87 (309.03, 348.22)"
"Howard County, Arkansas","392.05 (363.94, 420.29)"
"Independence County, Arkansas","342.94 (323.10, 363.62)"
"Izard County, Arkansas","309.89 (289.10, 332.89)"
"Jackson County, Arkansas","411.84 (384.52, 439.53)"
"Jefferson County, Arkansas","397.92 (377.64, 417.57)"
"Johnson County, Arkansas","307.90 (286.98, 327.70)"
"Lafayette County, Arkansas","381.07 (353.20, 413.56)"
"Lawrence County, Arkansas","345.63 (322.75, 370.86)"
"Lee County, Arkansas","353.72 (327.20, 380.78)"
"Lincoln County, Arkansas","362.49 (331.91, 395.35)"
"Little River County, Arkansas","367.03 (341.88, 392.66)"
"Logan County, Arkansas","361.51 (336.45, 385.03)"
"Lonoke County, Arkansas","314.92 (298.18, 331.89)"
"Madison County, Arkansas","336.01 (310.22, 362.15)"
"Marion County, Arkansas","279.43 (261.26, 299.03)"
"Miller County, Arkansas","327.60 (309.11, 345.91)"
"Mississippi County, Arkansas","428.58 (405.09, 453.54)"
"Monroe County, Arkansas","407.09 (376.19, 440.01)"
"Montgomery County, Arkansas","322.42 (299.40, 348.12)"
"Nevada County, Arkansas","360.99 (331.79, 393.46)"
