State,County,"County diagnosed diabetes prevalence for total population, 30+yrs, 2008 (%)",,,
CA,Kern,12.1,,,
CA,Kings,12.5,,,
CA,Lake,10.7,,,
CA,Lassen,10.6,,,
CA,Los Angeles,10.5,,,
CA,Madera,11.6,,,
CA,Marin,5.9,,,
CA,Mariposa,9.3,,,
CA,Mendocino,9.4,,,
CA,Merced,12.0,,,
CA,Modoc,10.0,,,
CA,Mono,8.0,,,
CA,Monterey,9.7,,,
CA,Napa,8.6,,,
CA,Nevada,7.5,,,
CA,Orange,8.0,,,
CA,Placer,7.2,,,
CA,Plumas,8.6,,,
CA,Riverside,10.4,,,
CA,Sacramento,9.6,,,
CA,San Benito,10.4,,,
CA,San Bernardino,10.9,,,
CA,San Diego,8.8,,,
CA,San Francisco,8.0,,,
CA,San Joaquin,11.0,,,
CA,San Luis Obispo,8.7,,,
CA,San Mateo,8.3,,,
CA,Santa Barbara,9.2,,,
CA,Santa Clara,8.6,,,
CA,Santa Cruz,7.7,,,
CA,Shasta,9.3,,,
CA,Sierra,9.2,,,
CA,Siskiyou,9.4,,,
CA,Solano,10.8,,,
CA,Sonoma,7.7,,,
CA,Stanislaus,10.9,,,
CA,Sutter,10.3,,,
CA,Tehama,10.7,,,
CA,Trinity,9.8,,,
CA,Tulare,12.5,,,
CA,Tuolumne,9.9,,,
CA,Ventura,9.3,,,
CA,Yolo,9.2,,,
CA,Yuba,11.9,,,
CO,Colorado*,7.1,,,
CO,Adams,9.9,,,
CO,Alamosa,10.0,,,
CO,Arapahoe,7.2,,,
CO,Archuleta,7.2,,,
CO,Baca,10.1,,,
CO,Bent,12.5,,,
CO,Boulder,5.5,,,
CO,Chaffee,7.7,,,
CO,Cheyenne,9.7,,,
CO,Clear Creek,6.5,,,
CO,Conejos,11.9,,,
CO,Costilla,13.2,,,
CO,Crowley,14.1,,,
CO,Custer,8.1,,,
CO,Delta,7.9,,,
CO,Denver,7.7,,,
CO,Dolores,8.7,,,
CO,Douglas,4.9,,,
CO,Eagle,5.6,,,
CO,Elbert,7.4,,,
CO,El Paso,7.4,,,
CO,Fremont,9.7,,,
CO,Garfield,7.5,,,
CO,Gilpin,7.1,,,
CO,Grand,6.2,,,
CO,Gunnison,6.2,,,
CO,Hinsdale,6.9,,,
CO,Huerfano,10.7,,,
CO,Jackson,7.9,,,
CO,Jefferson,6.3,,,
CO,Kiowa,10.1,,,
CO,Kit Carson,9.5,,,
CO,Lake,9.0,,,
CO,La Plata,6.5,,,
CO,Larimer,6.4,,,
CO,Las Animas,10.9,,,
CO,Lincoln,9.1,,,
CO,Logan,9.9,,,
CO,Mesa,7.7,,,
CO,Mineral,6.3,,,
CO,Moffat,9.8,,,
CO,Montezuma,8.5,,,
CO,Montrose,8.4,,,
CO,Morgan,9.8,,,
CO,Otero,10.9,,,
CO,Ouray,6.4,,,
CO,Park,6.8,,,
CO,Phillips,7.8,,,
CO,Pitkin,4.5,,,
CO,Prowers,10.7,,,
CO,Pueblo,10.0,,,
CO,Rio Blanco,8.1,,,
CO,Rio Grande,9.9,,,
CO,Routt,5.6,,,
CO,Saguache,11.1,,,
CO,San Juan,6.8,,,
CO,San Miguel,4.9,,,
CO,Sedgwick,8.9,,,
CO,Summit,4.8,,,
CO,Teller,6.2,,,
CO,Washington,9.6,,,
CO,Weld,8.9,,,
CO,Yuma,8.5,,,
CT,Connecticut*,7.9,,,
CT,Fairfield,7.3,,,
CT,Hartford,8.9,,,
CT,Litchfield,7.7,,,
CT,Middlesex,7.7,,,
CT,New Haven,9.4,,,
CT,New London,9.1,,,
CT,Tolland,8.3,,,
CT,Windham,10.0,,,
DE,Delaware*,10.1,,,
DE,Kent,11.8,,,
DE,New Castle,9.6,,,
DE,Sussex,10.6,,,
DC,District of Columbia*,9.9,,,
DC,District of Columbia,10.8,,,
FL,Florida*,11.5,,,
FL,Alachua,10.1,,,
