Domain,Area,Element,Item,Year,Unit,Value
"Food Balances (2010-)","Russian Federation","Protein supply quantity (g/capita/day)","Vegetable Oils","2019","g/capita/day","0.05"
"Food Balances (2010-)","Russian Federation","Fat supply quantity (g/capita/day)","Vegetable Oils","2019","g/capita/day","38.57"
"Food Balances (2010-)","Russian Federation","Food supply quantity (kg/capita/yr)","Vegetables","2019","kg","103.68"
"Food Balances (2010-)","Russian Federation","Food supply (kcal/capita/day)","Vegetables","2019","kcal/capita/day","71"
"Food Balances (2010-)","Russian Federation","Protein supply quantity (g/capita/day)","Vegetables","2019","g/capita/day","3.05"
"Food Balances (2010-)","Russian Federation","Fat supply quantity (g/capita/day)","Vegetables","2019","g/capita/day","0.56"
"Food Balances (2010-)","Russian Federation","Food supply quantity (kg/capita/yr)","Fruits - Excluding Wine","2019","kg","61.24"
"Food Balances (2010-)","Russian Federation","Food supply (kcal/capita/day)","Fruits - Excluding Wine","2019","kcal/capita/day","83"
"Food Balances (2010-)","Russian Federation","Protein supply quantity (g/capita/day)","Fruits - Excluding Wine","2019","g/capita/day","0.93"
"Food Balances (2010-)","Russian Federation","Fat supply quantity (g/capita/day)","Fruits - Excluding Wine","2019","g/capita/day","0.56"
"Food Balances (2010-)","Russian Federation","Food supply quantity (kg/capita/yr)","Stimulants","2019","kg","3.13"
"Food Balances (2010-)","Russian Federation","Food supply (kcal/capita/day)","Stimulants","2019","kcal/capita/day","12"
"Food Balances (2010-)","Russian Federation","Protein supply quantity (g/capita/day)","Stimulants","2019","g/capita/day","0.66"
"Food Balances (2010-)","Russian Federation","Fat supply quantity (g/capita/day)","Stimulants","2019","g/capita/day","0.79"
"Food Balances (2010-)","Russian Federation","Food supply quantity (kg/capita/yr)","Spices","2019","kg","0.24"
"Food Balances (2010-)","Russian Federation","Food supply (kcal/capita/day)","Spices","2019","kcal/capita/day","2"
"Food Balances (2010-)","Russian Federation","Protein supply quantity (g/capita/day)","Spices","2019","g/capita/day","0.08"
"Food Balances (2010-)","Russian Federation","Fat supply quantity (g/capita/day)","Spices","2019","g/capita/day","0.07"
"Food Balances (2010-)","Russian Federation","Food supply quantity (kg/capita/yr)","Alcoholic Beverages","2019","kg","69.49"
"Food Balances (2010-)","Russian Federation","Food supply (kcal/capita/day)","Alcoholic Beverages","2019","kcal/capita/day","153"
"Food Balances (2010-)","Russian Federation","Protein supply quantity (g/capita/day)","Alcoholic Beverages","2019","g/capita/day","0.73"
"Food Balances (2010-)","Russian Federation","Fat supply quantity (g/capita/day)","Alcoholic Beverages","2019","g/capita/day","0"
"Food Balances (2010-)","Russian Federation","Food supply quantity (kg/capita/yr)","Meat","2019","kg","76.38"
"Food Balances (2010-)","Russian Federation","Food supply (kcal/capita/day)","Meat","2019","kcal/capita/day","323"
"Food Balances (2010-)","Russian Federation","Protein supply quantity (g/capita/day)","Meat","2019","g/capita/day","25.47"
"Food Balances (2010-)","Russian Federation","Fat supply quantity (g/capita/day)","Meat","2019","g/capita/day","23.76"
"Food Balances (2010-)","Russian Federation","Food supply quantity (kg/capita/yr)","Offals","2019","kg","4.35"
"Food Balances (2010-)","Russian Federation","Food supply (kcal/capita/day)","Offals","2019","kcal/capita/day","13"
"Food Balances (2010-)","Russian Federation","Protein supply quantity (g/capita/day)","Offals","2019","g/capita/day","2.16"
"Food Balances (2010-)","Russian Federation","Fat supply quantity (g/capita/day)","Offals","2019","g/capita/day","0.37"
"Food Balances (2010-)","Russian Federation","Food supply quantity (kg/capita/yr)","Animal fats","2019","kg","6.11"
"Food Balances (2010-)","Russian Federation","Food supply (kcal/capita/day)","Animal fats","2019","kcal/capita/day","152"
"Food Balances (2010-)","Russian Federation","Protein supply quantity (g/capita/day)","Animal fats","2019","g/capita/day","0.3"
"Food Balances (2010-)","Russian Federation","Fat supply quantity (g/capita/day)","Animal fats","2019","g/capita/day","16.78"
"Food Balances (2010-)","Russian Federation","Food supply quantity (kg/capita/yr)","Eggs","2019","kg","16.62"
"Food Balances (2010-)","Russian Federation","Food supply (kcal/capita/day)","Eggs","2019","kcal/capita/day","63"
"Food Balances (2010-)","Russian Federation","Protein supply quantity (g/capita/day)","Eggs","2019","g/capita/day","4.88"
"Food Balances (2010-)","Russian Federation","Fat supply quantity (g/capita/day)","Eggs","2019","g/capita/day","4.48"
"Food Balances (2010-)","Russian Federation","Food supply quantity (kg/capita/yr)","Milk - Excluding Butter","2019","kg","141.67"
"Food Balances (2010-)","Russian Federation","Food supply (kcal/capita/day)","Milk - Excluding Butter","2019","kcal/capita/day","271"
"Food Balances (2010-)","Russian Federation","Protein supply quantity (g/capita/day)","Milk - Excluding Butter","2019","g/capita/day","16.46"
"Food Balances (2010-)","Russian Federation","Fat supply quantity (g/capita/day)","Milk - Excluding Butter","2019","g/capita/day","15.15"
"Food Balances (2010-)","Russian Federation","Food supply quantity (kg/capita/yr)","Fish, Seafood","2019","kg","20.06"
"Food Balances (2010-)","Russian Federation","Food supply (kcal/capita/day)","Fish, Seafood","2019","kcal/capita/day","47"
"Food Balances (2010-)","Russian Federation","Protein supply quantity (g/capita/day)","Fish, Seafood","2019","g/capita/day","6.61"
"Food Balances (2010-)","Russian Federation","Fat supply quantity (g/capita/day)","Fish, Seafood","2019","g/capita/day","2.07"
"Food Balances (2010-)","Russian Federation","Food supply quantity (kg/capita/yr)","Aquatic Products, Other","2019","kg","0"
"Food Balances (2010-)","Russian Federation","Food supply (kcal/capita/day)","Aquatic Products, Other","2019","kcal/capita/day","0"
"Food Balances (2010-)","Russian Federation","Protein supply quantity (g/capita/day)","Aquatic Products, Other","2019","g/capita/day","0"
"Food Balances (2010-)","Russian Federation","Fat supply quantity (g/capita/day)","Aquatic Products, Other","2019","g/capita/day","0"
"Food Balances (2010-)","Russian Federation","Food supply quantity (kg/capita/yr)","Miscellaneous","2019","kg","0.21"
"Food Balances (2010-)","Russian Federation","Food supply (kcal/capita/day)","Miscellaneous","2019","kcal/capita/day","2"
"Food Balances (2010-)","Russian Federation","Protein supply quantity (g/capita/day)","Miscellaneous","2019","g/capita/day","0.09"
"Food Balances (2010-)","Russian Federation","Fat supply quantity (g/capita/day)","Miscellaneous","2019","g/capita/day","0.02"
"Food Balances (2010-)","Slovakia","Total Population - Both sexes","Population","2019","1000 persons","5457"
"Food Balances (2010-)","Slovakia","Food supply (kcal/capita/day)","Grand Total","2019","kcal/capita/day","2914"
"Food Balances (2010-)","Slovakia","Protein supply quantity (g/capita/day)","Grand Total","2019","g/capita/day","71.07"
"Food Balances (2010-)","Slovakia","Fat supply quantity (g/capita/day)","Grand Total","2019","g/capita/day","138.82"
"Food Balances (2010-)","Slovakia","Food supply (kcal/capita/day)","Vegetal Products","2019","kcal/capita/day","1995"
"Food Balances (2010-)","Slovakia","Protein supply quantity (g/capita/day)","Vegetal Products","2019","g/capita/day","32.99"
"Food Balances (2010-)","Slovakia","Fat supply quantity (g/capita/day)","Vegetal Products","2019","g/capita/day","59.29"
"Food Balances (2010-)","Slovakia","Food supply (kcal/capita/day)","Animal Products","2019","kcal/capita/day","918"
"Food Balances (2010-)","Slovakia","Protein supply quantity (g/capita/day)","Animal Products","2019","g/capita/day","38.08"
"Food Balances (2010-)","Slovakia","Fat supply quantity (g/capita/day)","Animal Products","2019","g/capita/day","79.53"
"Food Balances (2010-)","Slovakia","Food supply quantity (kg/capita/yr)","Cereals - Excluding Beer","2019","kg","102.71"
"Food Balances (2010-)","Slovakia","Food supply (kcal/capita/day)","Cereals - Excluding Beer","2019","kcal/capita/day","850"
"Food Balances (2010-)","Slovakia","Protein supply quantity (g/capita/day)","Cereals - Excluding Beer","2019","g/capita/day","23.36"
"Food Balances (2010-)","Slovakia","Fat supply quantity (g/capita/day)","Cereals - Excluding Beer","2019","g/capita/day","9.45"
"Food Balances (2010-)","Slovakia","Food supply quantity (kg/capita/yr)","Starchy Roots","2019","kg","51.17"
"Food Balances (2010-)","Slovakia","Food supply (kcal/capita/day)","Starchy Roots","2019","kcal/capita/day","97"
"Food Balances (2010-)","Slovakia","Protein supply quantity (g/capita/day)","Starchy Roots","2019","g/capita/day","2.22"
"Food Balances (2010-)","Slovakia","Fat supply quantity (g/capita/day)","Starchy Roots","2019","g/capita/day","0.13"
"Food Balances (2010-)","Slovakia","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","2019","kg","82.15"
"Food Balances (2010-)","Slovakia","Food supply (kcal/capita/day)","Sugar & Sweeteners","2019","kcal/capita/day","306"
"Food Balances (2010-)","Slovakia","Protein supply quantity (g/capita/day)","Sugar & Sweeteners","2019","g/capita/day","0.02"
"Food Balances (2010-)","Slovakia","Fat supply quantity (g/capita/day)","Sugar & Sweeteners","2019","g/capita/day","0"
"Food Balances (2010-)","Slovakia","Food supply quantity (kg/capita/yr)","Pulses","2019","kg","1.26"
"Food Balances (2010-)","Slovakia","Food supply (kcal/capita/day)","Pulses","2019","kcal/capita/day","12"
"Food Balances (2010-)","Slovakia","Protein supply quantity (g/capita/day)","Pulses","2019","g/capita/day","0.79"
"Food Balances (2010-)","Slovakia","Fat supply quantity (g/capita/day)","Pulses","2019","g/capita/day","0.06"
"Food Balances (2010-)","Slovakia","Food supply quantity (kg/capita/yr)","Treenuts","2019","kg","1.53"
"Food Balances (2010-)","Slovakia","Food supply (kcal/capita/day)","Treenuts","2019","kcal/capita/day","15"
"Food Balances (2010-)","Slovakia","Protein supply quantity (g/capita/day)","Treenuts","2019","g/capita/day","0.39"
"Food Balances (2010-)","Slovakia","Fat supply quantity (g/capita/day)","Treenuts","2019","g/capita/day","1.33"
"Food Balances (2010-)","Slovakia","Food supply quantity (kg/capita/yr)","Oilcrops","2019","kg","2.36"
"Food Balances (2010-)","Slovakia","Food supply (kcal/capita/day)","Oilcrops","2019","kcal/capita/day","23"
"Food Balances (2010-)","Slovakia","Protein supply quantity (g/capita/day)","Oilcrops","2019","g/capita/day","0.94"
"Food Balances (2010-)","Slovakia","Fat supply quantity (g/capita/day)","Oilcrops","2019","g/capita/day","1.99"
"Food Balances (2010-)","Slovakia","Food supply quantity (kg/capita/yr)","Vegetable Oils","2019","kg","11.42"
"Food Balances (2010-)","Slovakia","Food supply (kcal/capita/day)","Vegetable Oils","2019","kcal/capita/day","374"
"Food Balances (2010-)","Slovakia","Protein supply quantity (g/capita/day)","Vegetable Oils","2019","g/capita/day","0.09"
"Food Balances (2010-)","Slovakia","Fat supply quantity (g/capita/day)","Vegetable Oils","2019","g/capita/day","42.41"
"Food Balances (2010-)","Slovakia","Food supply quantity (kg/capita/yr)","Vegetables","2019","kg","67.16"
"Food Balances (2010-)","Slovakia","Food supply (kcal/capita/day)","Vegetables","2019","kcal/capita/day","51"
"Food Balances (2010-)","Slovakia","Protein supply quantity (g/capita/day)","Vegetables","2019","g/capita/day","2.1"
"Food Balances (2010-)","Slovakia","Fat supply quantity (g/capita/day)","Vegetables","2019","g/capita/day","0.43"
"Food Balances (2010-)","Slovakia","Food supply quantity (kg/capita/yr)","Fruits - Excluding Wine","2019","kg","51.61"
"Food Balances (2010-)","Slovakia","Food supply (kcal/capita/day)","Fruits - Excluding Wine","2019","kcal/capita/day","71"
"Food Balances (2010-)","Slovakia","Protein supply quantity (g/capita/day)","Fruits - Excluding Wine","2019","g/capita/day","0.85"
"Food Balances (2010-)","Slovakia","Fat supply quantity (g/capita/day)","Fruits - Excluding Wine","2019","g/capita/day","0.49"
"Food Balances (2010-)","Slovakia","Food supply quantity (kg/capita/yr)","Stimulants","2019","kg","3.6"
"Food Balances (2010-)","Slovakia","Food supply (kcal/capita/day)","Stimulants","2019","kcal/capita/day","37"
"Food Balances (2010-)","Slovakia","Protein supply quantity (g/capita/day)","Stimulants","2019","g/capita/day","0.9"
"Food Balances (2010-)","Slovakia","Fat supply quantity (g/capita/day)","Stimulants","2019","g/capita/day","2.77"
"Food Balances (2010-)","Slovakia","Food supply quantity (kg/capita/yr)","Spices","2019","kg","0.54"
"Food Balances (2010-)","Slovakia","Food supply (kcal/capita/day)","Spices","2019","kcal/capita/day","5"
"Food Balances (2010-)","Slovakia","Protein supply quantity (g/capita/day)","Spices","2019","g/capita/day","0.18"
"Food Balances (2010-)","Slovakia","Fat supply quantity (g/capita/day)","Spices","2019","g/capita/day","0.19"
"Food Balances (2010-)","Slovakia","Food supply quantity (kg/capita/yr)","Alcoholic Beverages","2019","kg","80.85"
"Food Balances (2010-)","Slovakia","Food supply (kcal/capita/day)","Alcoholic Beverages","2019","kcal/capita/day","151"
"Food Balances (2010-)","Slovakia","Protein supply quantity (g/capita/day)","Alcoholic Beverages","2019","g/capita/day","0.99"
"Food Balances (2010-)","Slovakia","Fat supply quantity (g/capita/day)","Alcoholic Beverages","2019","g/capita/day","0"
"Food Balances (2010-)","Slovakia","Food supply quantity (kg/capita/yr)","Meat","2019","kg","57.32"
"Food Balances (2010-)","Slovakia","Food supply (kcal/capita/day)","Meat","2019","kcal/capita/day","230"
"Food Balances (2010-)","Slovakia","Protein supply quantity (g/capita/day)","Meat","2019","g/capita/day","17.19"
"Food Balances (2010-)","Slovakia","Fat supply quantity (g/capita/day)","Meat","2019","g/capita/day","17.33"
"Food Balances (2010-)","Slovakia","Food supply quantity (kg/capita/yr)","Offals","2019","kg","2.56"
"Food Balances (2010-)","Slovakia","Food supply (kcal/capita/day)","Offals","2019","kcal/capita/day","9"
"Food Balances (2010-)","Slovakia","Protein supply quantity (g/capita/day)","Offals","2019","g/capita/day","1.25"
"Food Balances (2010-)","Slovakia","Fat supply quantity (g/capita/day)","Offals","2019","g/capita/day","0.26"
"Food Balances (2010-)","Slovakia","Food supply quantity (kg/capita/yr)","Animal fats","2019","kg","13.6"
"Food Balances (2010-)","Slovakia","Food supply (kcal/capita/day)","Animal fats","2019","kcal/capita/day","409"
"Food Balances (2010-)","Slovakia","Protein supply quantity (g/capita/day)","Animal fats","2019","g/capita/day","0.78"
"Food Balances (2010-)","Slovakia","Fat supply quantity (g/capita/day)","Animal fats","2019","g/capita/day","45.16"
"Food Balances (2010-)","Slovakia","Food supply quantity (kg/capita/yr)","Eggs","2019","kg","12.58"
"Food Balances (2010-)","Slovakia","Food supply (kcal/capita/day)","Eggs","2019","kcal/capita/day","49"
"Food Balances (2010-)","Slovakia","Protein supply quantity (g/capita/day)","Eggs","2019","g/capita/day","3.79"
"Food Balances (2010-)","Slovakia","Fat supply quantity (g/capita/day)","Eggs","2019","g/capita/day","3.47"
"Food Balances (2010-)","Slovakia","Food supply quantity (kg/capita/yr)","Milk - Excluding Butter","2019","kg","171.13"
"Food Balances (2010-)","Slovakia","Food supply (kcal/capita/day)","Milk - Excluding Butter","2019","kcal/capita/day","202"
"Food Balances (2010-)","Slovakia","Protein supply quantity (g/capita/day)","Milk - Excluding Butter","2019","g/capita/day","12.44"
"Food Balances (2010-)","Slovakia","Fat supply quantity (g/capita/day)","Milk - Excluding Butter","2019","g/capita/day","12.57"
"Food Balances (2010-)","Slovakia","Food supply quantity (kg/capita/yr)","Fish, Seafood","2019","kg","9.68"
"Food Balances (2010-)","Slovakia","Food supply (kcal/capita/day)","Fish, Seafood","2019","kcal/capita/day","18"
"Food Balances (2010-)","Slovakia","Protein supply quantity (g/capita/day)","Fish, Seafood","2019","g/capita/day","2.63"
"Food Balances (2010-)","Slovakia","Fat supply quantity (g/capita/day)","Fish, Seafood","2019","g/capita/day","0.74"
"Food Balances (2010-)","Slovakia","Food supply quantity (kg/capita/yr)","Aquatic Products, Other","2019","kg","0"
"Food Balances (2010-)","Slovakia","Food supply (kcal/capita/day)","Aquatic Products, Other","2019","kcal/capita/day","0"
"Food Balances (2010-)","Slovakia","Protein supply quantity (g/capita/day)","Aquatic Products, Other","2019","g/capita/day","0"
"Food Balances (2010-)","Slovakia","Fat supply quantity (g/capita/day)","Aquatic Products, Other","2019","g/capita/day","0"
"Food Balances (2010-)","Slovakia","Food supply quantity (kg/capita/yr)","Miscellaneous","2019","kg","0.38"
"Food Balances (2010-)","Slovakia","Food supply (kcal/capita/day)","Miscellaneous","2019","kcal/capita/day","4"
"Food Balances (2010-)","Slovakia","Protein supply quantity (g/capita/day)","Miscellaneous","2019","g/capita/day","0.16"
"Food Balances (2010-)","Slovakia","Fat supply quantity (g/capita/day)","Miscellaneous","2019","g/capita/day","0.03"
"Food Balances (2010-)","Ukraine","Total Population - Both sexes","Population","2019","1000 persons","43994"
"Food Balances (2010-)","Ukraine","Food supply (kcal/capita/day)","Grand Total","2019","kcal/capita/day","3036"
"Food Balances (2010-)","Ukraine","Protein supply quantity (g/capita/day)","Grand Total","2019","g/capita/day","90.09"
"Food Balances (2010-)","Ukraine","Fat supply quantity (g/capita/day)","Grand Total","2019","g/capita/day","91.64"
"Food Balances (2010-)","Ukraine","Food supply (kcal/capita/day)","Vegetal Products","2019","kcal/capita/day","2300"
"Food Balances (2010-)","Ukraine","Protein supply quantity (g/capita/day)","Vegetal Products","2019","g/capita/day","45.36"
"Food Balances (2010-)","Ukraine","Fat supply quantity (g/capita/day)","Vegetal Products","2019","g/capita/day","39.29"
"Food Balances (2010-)","Ukraine","Food supply (kcal/capita/day)","Animal Products","2019","kcal/capita/day","736"
"Food Balances (2010-)","Ukraine","Protein supply quantity (g/capita/day)","Animal Products","2019","g/capita/day","44.74"
"Food Balances (2010-)","Ukraine","Fat supply quantity (g/capita/day)","Animal Products","2019","g/capita/day","52.34"
"Food Balances (2010-)","Ukraine","Food supply quantity (kg/capita/yr)","Cereals - Excluding Beer","2019","kg","147.88"
"Food Balances (2010-)","Ukraine","Food supply (kcal/capita/day)","Cereals - Excluding Beer","2019","kcal/capita/day","1125"
"Food Balances (2010-)","Ukraine","Protein supply quantity (g/capita/day)","Cereals - Excluding Beer","2019","g/capita/day","32.15"
"Food Balances (2010-)","Ukraine","Fat supply quantity (g/capita/day)","Cereals - Excluding Beer","2019","g/capita/day","4.67"
"Food Balances (2010-)","Ukraine","Food supply quantity (kg/capita/yr)","Starchy Roots","2019","kg","97.3"
"Food Balances (2010-)","Ukraine","Food supply (kcal/capita/day)","Starchy Roots","2019","kcal/capita/day","179"
"Food Balances (2010-)","Ukraine","Protein supply quantity (g/capita/day)","Starchy Roots","2019","g/capita/day","4.26"
"Food Balances (2010-)","Ukraine","Fat supply quantity (g/capita/day)","Starchy Roots","2019","g/capita/day","0.27"
"Food Balances (2010-)","Ukraine","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","2019","kg","61.84"
"Food Balances (2010-)","Ukraine","Food supply (kcal/capita/day)","Sugar & Sweeteners","2019","kcal/capita/day","359"
"Food Balances (2010-)","Ukraine","Protein supply quantity (g/capita/day)","Sugar & Sweeteners","2019","g/capita/day","0"
"Food Balances (2010-)","Ukraine","Fat supply quantity (g/capita/day)","Sugar & Sweeteners","2019","g/capita/day","0"
"Food Balances (2010-)","Ukraine","Food supply quantity (kg/capita/yr)","Pulses","2019","kg","1.61"
"Food Balances (2010-)","Ukraine","Food supply (kcal/capita/day)","Pulses","2019","kcal/capita/day","15"
"Food Balances (2010-)","Ukraine","Protein supply quantity (g/capita/day)","Pulses","2019","g/capita/day","0.99"
"Food Balances (2010-)","Ukraine","Fat supply quantity (g/capita/day)","Pulses","2019","g/capita/day","0.08"
"Food Balances (2010-)","Ukraine","Food supply quantity (kg/capita/yr)","Treenuts","2019","kg","1.26"
"Food Balances (2010-)","Ukraine","Food supply (kcal/capita/day)","Treenuts","2019","kcal/capita/day","12"
"Food Balances (2010-)","Ukraine","Protein supply quantity (g/capita/day)","Treenuts","2019","g/capita/day","0.28"
"Food Balances (2010-)","Ukraine","Fat supply quantity (g/capita/day)","Treenuts","2019","g/capita/day","1.1"
"Food Balances (2010-)","Ukraine","Food supply quantity (kg/capita/yr)","Oilcrops","2019","kg","1.22"
"Food Balances (2010-)","Ukraine","Food supply (kcal/capita/day)","Oilcrops","2019","kcal/capita/day","11"
"Food Balances (2010-)","Ukraine","Protein supply quantity (g/capita/day)","Oilcrops","2019","g/capita/day","0.43"
"Food Balances (2010-)","Ukraine","Fat supply quantity (g/capita/day)","Oilcrops","2019","g/capita/day","0.96"
"Food Balances (2010-)","Ukraine","Food supply quantity (kg/capita/yr)","Vegetable Oils","2019","kg","11.71"
"Food Balances (2010-)","Ukraine","Food supply (kcal/capita/day)","Vegetable Oils","2019","kcal/capita/day","257"
"Food Balances (2010-)","Ukraine","Protein supply quantity (g/capita/day)","Vegetable Oils","2019","g/capita/day","0.09"
"Food Balances (2010-)","Ukraine","Fat supply quantity (g/capita/day)","Vegetable Oils","2019","g/capita/day","29.05"
"Food Balances (2010-)","Ukraine","Food supply quantity (kg/capita/yr)","Vegetables","2019","kg","180.7"
"Food Balances (2010-)","Ukraine","Food supply (kcal/capita/day)","Vegetables","2019","kcal/capita/day","123"
"Food Balances (2010-)","Ukraine","Protein supply quantity (g/capita/day)","Vegetables","2019","g/capita/day","5.16"
"Food Balances (2010-)","Ukraine","Fat supply quantity (g/capita/day)","Vegetables","2019","g/capita/day","0.92"
"Food Balances (2010-)","Ukraine","Food supply quantity (kg/capita/yr)","Fruits - Excluding Wine","2019","kg","61.14"
"Food Balances (2010-)","Ukraine","Food supply (kcal/capita/day)","Fruits - Excluding Wine","2019","kcal/capita/day","83"
"Food Balances (2010-)","Ukraine","Protein supply quantity (g/capita/day)","Fruits - Excluding Wine","2019","g/capita/day","0.9"
"Food Balances (2010-)","Ukraine","Fat supply quantity (g/capita/day)","Fruits - Excluding Wine","2019","g/capita/day","0.61"
"Food Balances (2010-)","Ukraine","Food supply quantity (kg/capita/yr)","Stimulants","2019","kg","1.39"
"Food Balances (2010-)","Ukraine","Food supply (kcal/capita/day)","Stimulants","2019","kcal/capita/day","19"
"Food Balances (2010-)","Ukraine","Protein supply quantity (g/capita/day)","Stimulants","2019","g/capita/day","0.43"
"Food Balances (2010-)","Ukraine","Fat supply quantity (g/capita/day)","Stimulants","2019","g/capita/day","1.59"
"Food Balances (2010-)","Ukraine","Food supply quantity (kg/capita/yr)","Spices","2019","kg","0.17"
"Food Balances (2010-)","Ukraine","Food supply (kcal/capita/day)","Spices","2019","kcal/capita/day","1"
"Food Balances (2010-)","Ukraine","Protein supply quantity (g/capita/day)","Spices","2019","g/capita/day","0.05"
"Food Balances (2010-)","Ukraine","Fat supply quantity (g/capita/day)","Spices","2019","g/capita/day","0.04"
"Food Balances (2010-)","Ukraine","Food supply quantity (kg/capita/yr)","Alcoholic Beverages","2019","kg","49.96"
"Food Balances (2010-)","Ukraine","Food supply (kcal/capita/day)","Alcoholic Beverages","2019","kcal/capita/day","115"
"Food Balances (2010-)","Ukraine","Protein supply quantity (g/capita/day)","Alcoholic Beverages","2019","g/capita/day","0.57"
"Food Balances (2010-)","Ukraine","Fat supply quantity (g/capita/day)","Alcoholic Beverages","2019","g/capita/day","0"
"Food Balances (2010-)","Ukraine","Food supply quantity (kg/capita/yr)","Meat","2019","kg","53.09"
"Food Balances (2010-)","Ukraine","Food supply (kcal/capita/day)","Meat","2019","kcal/capita/day","236"
"Food Balances (2010-)","Ukraine","Protein supply quantity (g/capita/day)","Meat","2019","g/capita/day","17.74"
"Food Balances (2010-)","Ukraine","Fat supply quantity (g/capita/day)","Meat","2019","g/capita/day","17.76"
"Food Balances (2010-)","Ukraine","Food supply quantity (kg/capita/yr)","Offals","2019","kg","5.13"
"Food Balances (2010-)","Ukraine","Food supply (kcal/capita/day)","Offals","2019","kcal/capita/day","16"
"Food Balances (2010-)","Ukraine","Protein supply quantity (g/capita/day)","Offals","2019","g/capita/day","2.56"
"Food Balances (2010-)","Ukraine","Fat supply quantity (g/capita/day)","Offals","2019","g/capita/day","0.48"
"Food Balances (2010-)","Ukraine","Food supply quantity (kg/capita/yr)","Animal fats","2019","kg","2.53"
"Food Balances (2010-)","Ukraine","Food supply (kcal/capita/day)","Animal fats","2019","kcal/capita/day","106"
"Food Balances (2010-)","Ukraine","Protein supply quantity (g/capita/day)","Animal fats","2019","g/capita/day","0.1"
"Food Balances (2010-)","Ukraine","Fat supply quantity (g/capita/day)","Animal fats","2019","g/capita/day","11.81"
"Food Balances (2010-)","Ukraine","Food supply quantity (kg/capita/yr)","Eggs","2019","kg","18.69"
"Food Balances (2010-)","Ukraine","Food supply (kcal/capita/day)","Eggs","2019","kcal/capita/day","71"
"Food Balances (2010-)","Ukraine","Protein supply quantity (g/capita/day)","Eggs","2019","g/capita/day","5.48"
"Food Balances (2010-)","Ukraine","Fat supply quantity (g/capita/day)","Eggs","2019","g/capita/day","5.03"
"Food Balances (2010-)","Ukraine","Food supply quantity (kg/capita/yr)","Milk - Excluding Butter","2019","kg","169.98"
"Food Balances (2010-)","Ukraine","Food supply (kcal/capita/day)","Milk - Excluding Butter","2019","kcal/capita/day","285"
"Food Balances (2010-)","Ukraine","Protein supply quantity (g/capita/day)","Milk - Excluding Butter","2019","g/capita/day","15.67"
"Food Balances (2010-)","Ukraine","Fat supply quantity (g/capita/day)","Milk - Excluding Butter","2019","g/capita/day","16.43"
"Food Balances (2010-)","Ukraine","Food supply quantity (kg/capita/yr)","Fish, Seafood","2019","kg","11.81"
"Food Balances (2010-)","Ukraine","Food supply (kcal/capita/day)","Fish, Seafood","2019","kcal/capita/day","21"
"Food Balances (2010-)","Ukraine","Protein supply quantity (g/capita/day)","Fish, Seafood","2019","g/capita/day","3.19"
"Food Balances (2010-)","Ukraine","Fat supply quantity (g/capita/day)","Fish, Seafood","2019","g/capita/day","0.83"
"Food Balances (2010-)","Ukraine","Food supply quantity (kg/capita/yr)","Aquatic Products, Other","2019","kg","0"
"Food Balances (2010-)","Ukraine","Food supply (kcal/capita/day)","Aquatic Products, Other","2019","kcal/capita/day","0"
"Food Balances (2010-)","Ukraine","Protein supply quantity (g/capita/day)","Aquatic Products, Other","2019","g/capita/day","0"
"Food Balances (2010-)","Ukraine","Fat supply quantity (g/capita/day)","Aquatic Products, Other","2019","g/capita/day","0"
"Food Balances (2010-)","Ukraine","Food supply quantity (kg/capita/yr)","Miscellaneous","2019","kg","0.14"
"Food Balances (2010-)","Ukraine","Food supply (kcal/capita/day)","Miscellaneous","2019","kcal/capita/day","1"
"Food Balances (2010-)","Ukraine","Protein supply quantity (g/capita/day)","Miscellaneous","2019","g/capita/day","0.06"
"Food Balances (2010-)","Ukraine","Fat supply quantity (g/capita/day)","Miscellaneous","2019","g/capita/day","0.01"
"Food Balances (2010-)","Eastern Europe","Total Population - Both sexes","Population","2019","1000 persons","293445"
"Food Balances (2010-)","Eastern Europe","Food supply (kcal/capita/day)","Grand Total","2019","kcal/capita/day","3314"
"Food Balances (2010-)","Eastern Europe","Protein supply quantity (g/capita/day)","Grand Total","2019","g/capita/day","99.59"
"Food Balances (2010-)","Eastern Europe","Fat supply quantity (g/capita/day)","Grand Total","2019","g/capita/day","113.53"
"Food Balances (2010-)","Eastern Europe","Food supply (kcal/capita/day)","Vegetal Products","2019","kcal/capita/day","2440"
"Food Balances (2010-)","Eastern Europe","Protein supply quantity (g/capita/day)","Vegetal Products","2019","g/capita/day","46.92"
"Food Balances (2010-)","Eastern Europe","Fat supply quantity (g/capita/day)","Vegetal Products","2019","g/capita/day","48.51"
"Food Balances (2010-)","Eastern Europe","Food supply (kcal/capita/day)","Animal Products","2019","kcal/capita/day","874"
"Food Balances (2010-)","Eastern Europe","Protein supply quantity (g/capita/day)","Animal Products","2019","g/capita/day","52.67"
"Food Balances (2010-)","Eastern Europe","Fat supply quantity (g/capita/day)","Animal Products","2019","g/capita/day","65.02"
"Food Balances (2010-)","Eastern Europe","Food supply quantity (kg/capita/yr)","Cereals - Excluding Beer","2019","kg","149.01"
"Food Balances (2010-)","Eastern Europe","Food supply (kcal/capita/day)","Cereals - Excluding Beer","2019","kcal/capita/day","1159"
